"","PMeco","depth","pro_rep","Year","PM","ECO","lyr_top","lyr_bot","pro_name","lyr_name","fm","fm_err","d14c","d14c_err","bd_g_cm3","C","N","lyr_soc","lyr_soc_cmtv"
"6...87","BSrf","10-20",3,2019,"BS","rf",10,20,"BSrf_3","BSrf_3_10-20",1.0133,0.002,4.7,2,0.779588661678566,1.28763914108276,0.0553466714918613,1.00382887472165,3.4673857679176
"7...88","BSrf","20-30",1,2019,"BS","rf",20,30,"BSrf_1","BSrf_1_20-30",1.0174,0.0028,8.8,2.8,0.84127184990369,1.62672543525696,0.0867196619510651,1.36851831620401,5.82071600440205
"8...89","BSrf","20-30",2,2019,"BS","rf",20,30,"BSrf_2","BSrf_2_20-30",1.0043,0.0029,-4.2,2.9,0.84127184990369,2.04467725753784,0.0728394389152527,1.72012941890486,3.78434074819562
"9...90","BSrf","20-30",3,2019,"BS","rf",20,30,"BSrf_3","BSrf_3_20-30",1.0286,0.003,20,3,0.84127184990369,1.6250821352005,0.0732514336705208,1.36713585412556,4.83452162204317
"10...91","BSrf","30-40",1,2019,"BS","rf",30,40,"BSrf_1","BSrf_1_30-40",1.0012,0.003,-7.2,3,0.891809690174019,2.04806733131409,0.0916059166193008,1.82648629219475,7.6472022965968
"11...92","BSrf","30-40",2,2019,"BS","rf",30,40,"BSrf_2","BSrf_2_30-40",0.9955,0.0027,-12.9,2.7,0.891809690174019,1.62733340263367,0.0668249204754829,1.45127169761257,5.23561244580819
"12...93","BSrf","30-40",3,2019,"BS","rf",30,40,"BSrf_3","BSrf_3_30-40",0.9561,0.0028,-52,2.8,0.891809690174019,1.84314286708832,0.0728678554296494,1.64373266924449,6.47825429128765
"13...94","BSrf","40-50",1,2019,"BS","rf",40,50,"BSrf_1","BSrf_1_40-50",0.9431,0.0026,-64.9,2.7,0.889221908150122,1.44496051470439,0.0743793174624443,1.28489054608702,8.93209284268382
"14...95","BSrf","40-50",2,2019,"BS","rf",40,50,"BSrf_2","BSrf_2_40-50",1.0038,0.0024,-4.7,2.4,0.889221908150122,1.14708876609802,0.0484958700835705,1.02001646140725,6.25562890721544
"15...96","BSrf","40-50",3,2019,"BS","rf",40,50,"BSrf_3","BSrf_3_40-50",0.9048,0.0025,-102.9,2.5,0.889221908150122,1.5473401149114,0.0610138525565465,1.37592872953874,7.8541830208264
"16...97","BSrf","50-60",1,2019,"BS","rf",50,60,"BSrf_1","BSrf_1_50-60",0.9732,0.0028,-35,2.8,0.833175327051527,1.50498676300049,0.0795427411794662,1.25391783847115,10.186010681155
"17...98","BSrf","50-60",2,2019,"BS","rf",50,60,"BSrf_2","BSrf_2_50-60",1.0362,0.0022,27.5,2.2,0.833175327051527,1.00837600231171,0.045089665800333,0.84015400551697,7.09578291273241
"18...99","BSrf","50-60",3,2019,"BS","rf",50,60,"BSrf_3","BSrf_3_50-60",0.9071,0.0021,-100.6,2.1,0.833175327051527,1.00286734104156,0.0452408902347088,0.835564324861597,8.68974734568799
"19...100","BSrf","60-70",1,2019,"BS","rf",60,70,"BSrf_1","BSrf_1_60-70",0.899,0.0019,-108.6,1.9,0.729869464412302,1.09807896614075,0.0588685423135757,0.801454306899563,10.9874649880545
"20...101","BSrf","60-70",2,2019,"BS","rf",60,70,"BSrf_2","BSrf_2_60-70",1.0463,0.0032,37.4,3.2,0.729869464412302,0.719500362873077,0.0341642014682293,0.525141344494629,7.62092425722704
"21...102","BSrf","60-70",3,2019,"BS","rf",60,70,"BSrf_3","BSrf_3_60-70",0.9756,0.0031,-32.6,3.1,0.729869464412302,0.383505880832672,0.0208754483610392,0.27990923184231,8.9696565775303
"22...103","BSrf","70-80",2,2019,"BS","rf",70,80,"BSrf_2","BSrf_2_70-80",1.0164,0.0018,7.8,1.8,0.633550098655544,0.862909853458405,0.0378862917423248,0.546696622789413,8.16762088001645
"23...104","BSrf","70-80",3,2019,"BS","rf",70,80,"BSrf_3","BSrf_3_70-80",0.9754,0.002,-32.8,2,0.633550098655544,0.889264702796936,0.037836704403162,0.563393740187892,9.5330503177182
"1...105","BSwf","0-10",1,2019,"BS","wf",0,10,"BSwf_1","BSwf_1_0-10",1.0227,0.0018,14.1,1.8,0.89,5.74416589736938,0.305158108472824,5.11230764865875,5.11230764865875
"2...106","BSwf","0-10",2,2019,"BS","wf",0,10,"BSwf_2","BSwf_2_0-10",0.9839,0.0024,-24.4,2.4,0.89,4.82486486434937,0.232458531856537,4.29412972927094,4.29412972927094
"3...107","BSwf","0-10",3,2019,"BS","wf",0,10,"BSwf_3","BSwf_3_0-10",1.0212,0.0019,12.6,1.9,0.89,6.70053768157959,0.279764860868454,5.96347853660584,5.96347853660584
"4...108","BSwf","10-20",1,2019,"BS","wf",10,20,"BSwf_1","BSwf_1_10-20",0.9382,0.0027,-69.7,2.7,0.89,2.82350993156433,0.14703106880188,2.51292383909225,7.625231487751
"5...109","BSwf","10-20",2,2019,"BS","wf",10,20,"BSwf_2","BSwf_2_10-20",0.9595,0.0028,-48.6,2.8,0.89,2.81559872627258,0.148710414767265,2.5058828663826,6.80001259565354
"6...110","BSwf","10-20",3,2019,"BS","wf",10,20,"BSwf_3","BSwf_3_10-20",0.9988,0.0028,-9.6,2.8,0.89,2.75469088554382,0.125359386205673,2.451674888134,8.41515342473984
"7...111","BSwf","20-30",1,2019,"BS","wf",20,30,"BSwf_1","BSwf_1_20-30",0.9001,0.0024,-107.5,2.4,0.89,1.87109351158142,0.109094306826591,1.66527322530746,9.29050471305847
"8...112","BSwf","20-30",2,2019,"BS","wf",20,30,"BSwf_2","BSwf_2_20-30",0.9363,0.003,-71.6,3,0.89,2.03889799118042,0.115164041519165,1.81461921215057,8.61463180780411
"9...113","BSwf","20-30",3,2019,"BS","wf",20,30,"BSwf_3","BSwf_3_20-30",0.8918,0.0025,-115.7,2.5,0.89,1.85948121547699,0.0899567678570747,1.65493828177452,10.0700917065144
"10...114","BSwf","30-40",1,2019,"BS","wf",30,40,"BSwf_1","BSwf_1_30-40",0.8456,0.0019,-161.5,1.9,0.89,1.33290028572083,0.0790208131074905,1.18628125429154,10.47678596735
"11...115","BSwf","30-40",2,2019,"BS","wf",30,40,"BSwf_2","BSwf_2_30-40",0.9135,0.0029,-94.2,2.9,0.89,1.61043441295624,0.0909447222948074,1.43328662753105,10.0479184353352
