"","PMeco","fm","lyr_bot","pro_rep","Year","PM","ECO","Al_ox","Al_py","Fe_dc","Fe_ox","year","d14c"
"111","ANpp",0.935451727577659,30,"1",2001,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,1,-70.3017475966128
"112","ANpp",1.1056263469937,10,"2",2001,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,1,98.8262165840617
"113","ANpp",0.988249887810692,20,"2",2001,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,1,-17.8283212811001
"114","ANpp",0.933638036476045,30,"2",2001,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,1,-72.1042836311936
"115","ANpp",1.14601346750459,10,"3",2001,"andesite","warm",15.6918904381968,5.43564956456918,39.6206027811948,4.39062672521814,1,138.964937002927
"116","ANpp",1.07192395064947,20,"3",2001,"andesite","warm",16.7799261541642,4.1927233983413,45.1277220851047,4.61678690883707,1,65.3311060836255
"117","ANpp",1.0205202683823,30,"3",2001,"andesite","warm",15.9847030576769,3.83467001667087,46.7148174185386,4.55662606428335,1,14.2435810280688
"118","ANrf",1.06479832274119,10,"1",2001,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,1,58.2493041922993
"119","ANrf",1.01594240773953,20,"1",2001,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,1,9.69387641600528
"120","ANrf",0.977528782619831,30,"1",2001,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,1,-28.4834865514526
"121","ANrf",1.06522535007488,10,"3",2001,"andesite","cold",31.5737866273885,7.15323273973237,10.3708054908725,5.67885790550017,1,58.6737051038104
"122","ANrf",0.999890075886468,20,"3",2001,"andesite","cold",34.4341740727262,5.47787986595205,11.5778196020113,5.95011093385526,1,-6.25972592480262
"123","ANrf",0.950927863228834,30,"3",2001,"andesite","cold",34.1444201028567,5.11890056399373,11.5819687427447,5.9917516260884,1,-54.9207975756923
"124","ANwf",0.9585791542351,10,"1",2001,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,1,-47.3165656656448
"125","ANwf",0.931297277974366,20,"1",2001,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,1,-74.4306453494455
"126","ANwf",0.909641230851972,30,"1",2001,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,1,-95.953497432675
"127","ANwf",0.987440091277817,10,"2",2001,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,1,-18.633137178299
"128","ANwf",0.947956128475824,20,"2",2001,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,1,-57.874254739788
"129","ANwf",0.916305795915331,30,"2",2001,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,1,-89.3299226294323
"130","ANwf",0.996087354620452,10,"3",2001,"andesite","cool",31.7198622863752,10.3290278986733,13.2222795835593,6.496340690641,1,-10.0390586377231
"131","ANwf",0.960045188341273,20,"3",2001,"andesite","cool",36.7120681293262,8.841328929924,15.2385400632336,6.84522811291924,1,-45.8595483698383
"132","ANwf",0.931270642385579,30,"3",2001,"andesite","cool",38.8096544688208,7.14737383075395,16.1420546926304,7.00742330836137,1,-74.4571171166323
"133","BSpp",1.05750158844504,10,"1",2001,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,1,50.997448299158
"134","BSpp",1.01523263062148,20,"1",2001,"basalt","warm",8.82680778847546,4.74536175646616,48.3893041649917,2.27326136105573,1,8.98846476642801
"135","BSpp",0.998744585069141,30,"1",2001,"basalt","warm",7.96982583224705,4.21171321934301,51.6521821073928,2.04282313997897,1,-7.39817142617627
"136","BSpp",1.1119469907092,10,"2",2001,"basalt","warm",8.47927902097102,4.56953397512228,46.4508757659556,2.5564697760045,1,105.107985320093
