SampleName,PMeco,ID,dw_g,timepoint_cmtv,sheet_name,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,time_d,mgCO2_jar
24_BSwf_comp_20-30,BSwf,BSwf_20-30_2019_a,15.3,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,1.95122073
25_BSpp_comp_0-10,BSpp,BSpp_0-10_2019_a,15.3,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,7.974739536
26_BSpp_comp_10-20,BSpp,BSpp_10-20_2019_a,15,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,4.954570281
27_BSpp_comp_20-30,BSpp,BSpp_20-30_2019_a,15.4,4,2019_Inc_19.02.20,,43873.45833,2020,2,12.45833333,43880.47917,2020,2,19.47916667,7.020833333,3.186691634
1_GRrf_comp_0-10,GRrf,GRrf_0-10_2019_a,15.6,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,8.572337292
2_GRrf_comp_10-20,GRrf,GRrf_10-20_2019_a,15.8,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,3.01214942
3_GRrf_comp_20-30,GRrf,GRrf_20-30_2019_a,15.5,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,2.142581784
4_GRwf_comp_0-10,GRwf,GRwf_0-10_2019_a,15.4,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,8.427435306
5_GRwf_comp_10-20,GRwf,GRwf_10-20_2019_a,15.3,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,4.379278433
6_GRwf_comp_20-30,GRwf,GRwf_20-30_2019_a,15.3,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,5.520641811
7_GRpp_comp_0-10,GRpp,GRpp_0-10_2019_a,15.46,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,20.43321235
8_GRpp_comp_10-20,GRpp,GRpp_10-20_2019_a,15.5,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,13.5544066
9_GRpp_comp_20-30,GRpp,GRpp_20-30_2019_a,15.4,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,6.927892138
10_ANrf_comp_0-10,ANrf,ANrf_0-10_2019_a,15.3,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,6.650697736
11_ANrf_comp_10-20,ANrf,ANrf_10-20_2019_a,15.4,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,6.443980467
12_ANrf_comp_20-30,ANrf,ANrf_20-30_2019_a,15.8,5,2019_Inc_27.02.20,,43873.45833,2020,2,12.45833333,43888.45833,2020,2,27.45833333,15,9.163614908
